Timestep,Alpha,Omega,Theta
40.3,-0.00071032553,-0.00054351982,0.39729408
40.4,-0.00068643027,-0.00061216284,0.39723287
40.5,-0.0006619871,-0.00067836155,0.39716503
40.6,-0.00063704557,-0.00074206611,0.39709083
40.7,-0.00061165496,-0.00080323161,0.3970105
40.8,-0.00058586417,-0.00086181802,0.39692432
40.9,-0.00055972167,-0.00091779019,0.39683254
41,-0.00053327545,-0.00097111773,0.39673543
41.1,-0.00050657291,-0.001021775,0.39663325
41.2,-0.00047966087,-0.0010697411,0.39652628
41.3,-0.00045258542,-0.0011149997,0.39641478
41.4,-0.00042539196,-0.0011575389,0.39629902
41.5,-0.00039812506,-0.0011973514,0.39617929
41.6,-0.00037082846,-0.0012344342,0.39605585
41.7,-0.00034354503,-0.0012687887,0.39592897
41.8,-0.00031631666,-0.0013004204,0.39579892
41.9,-0.00028918428,-0.0013293388,0.39566599
42,-0.00026218778,-0.0013555576,0.39553044
42.1,-0.00023536601,-0.0013790942,0.39539253
42.2,-0.00020875668,-0.0013999698,0.39525253
42.3,-0.00018239638,-0.0014182095,0.39511071
42.4,-0.00015632053,-0.0014338415,0.39496732
42.5,-0.00013056334,-0.0014468979,0.39482263
42.6,-0.00010515782,-0.0014574137,0.39467689
42.7,-8.0135684e-05,-0.0014654272,0.39453035
42.8,-5.5527407e-05,-0.00147098,0.39438325
42.9,-3.1362158e-05,-0.0014741162,0.39423584
43,-7.6677931e-06,-0.001474883,0.39408835
43.1,1.5529155e-05,-0.00147333,0.39394102
43.2,3.8203495e-05,-0.0014695097,0.39379407
43.3,6.0331381e-05,-0.0014634766,0.39364772
43.4,8.1890328e-05,-0.0014552875,0.39350219
43.5,0.00010285921,-0.0014450016,0.39335769
43.6,0.00012321827,-0.0014326798,0.39321442
43.7,0.00014294912,-0.0014183849,0.39307259
43.8,0.00016203473,-0.0014021814,0.39293237
43.9,0.00018045944,-0.0013841354,0.39279395
44,0.00019820895,-0.0013643145,0.39265752
44.1,0.0002152703,-0.0013427875,0.39252324
44.2,0.0002316319,-0.0013196243,0.39239128
44.3,0.00024728345,-0.001294896,0.39226179
44.4,0.000262216,-0.0012686744,0.39213492
44.5,0.0002764219,-0.0012410322,0.39201082
