Timestep,Alpha,Omega,Theta
45.4,0.027200178,0.02935042,0.26741347
45.5,0.016019477,0.029672318,0.27252816
45.6,0.012558619,0.029454689,0.26936511
45.7,0.017162487,0.029484238,0.26228652
45.8,0.026304317,0.032205076,0.27409837
45.9,0.013069131,0.03236143,0.27965804
46,0.010028606,0.032328615,0.27903441
46.1,0.014237084,0.034071725,0.2886264
46.2,0.0068013198,0.033529015,0.28709034
46.3,0.012468981,0.035141827,0.29529942
46.4,0.0066697063,0.033304135,0.28198479
46.5,0.023068868,0.03548769,0.28595381
46.6,0.017586817,0.036132899,0.29010186
46.7,0.013312319,0.03454689,0.27677627
46.8,0.026091274,0.035574934,0.27222472
46.9,0.02793792,0.036879173,0.27488615
47,0.022560065,0.037652919,0.27843524
47.1,0.018229247,0.038573439,0.28378484
47.2,0.013639459,0.040108398,0.29509306
47.3,0.0048580616,0.038946052,0.29066961
47.4,0.012991108,0.039559835,0.28934079
47.5,0.015621379,0.040029313,0.28885756
47.6,0.01750078,0.042466846,0.30266035
47.7,0.0041522377,0.042599983,0.31010979
47.8,0.001349329,0.041279928,0.30286394
47.9,0.012557597,0.042035535,0.30141436
48,0.014700056,0.042155499,0.29898418
48.1,0.017000383,0.042292029,0.29605002
48.2,0.019493664,0.043308208,0.29869758
48.3,0.016046561,0.044236776,0.30421942
48.4,0.010816317,0.042646347,0.29428746
48.5,0.021525675,0.0437976,0.29377986
48.6,0.019613124,0.042696727,0.28386788
48.7,0.028041082,0.044286994,0.28577012
48.8,0.023085478,0.045686247,0.29310949
48.9,0.014463165,0.046039525,0.29717522
49,0.011862622,0.047523639,0.30684117
49.1,0.0042278869,0.04902141,0.32052152
49.2,-0.0052813841,0.049842626,0.33297707
49.3,-0.0097871609,0.047895729,0.3259177
49.4,0.0046474714,0.049178126,0.32916195
49.5,0.0043855263,0.049488998,0.33211392
49.6,0.0041809153,0.048208424,0.32426732
49.7,0.013935934,0.048967976,0.32362965
49.8,0.014331551,0.050576928,0.33257581
49.9,0.0051587247,0.050870155,0.33895878
50,0.0014276381,0.050352709,0.33855215
50.1,0.0056003631,0.053218552,0.35680122
50.2,-0.0093812758,0.051256768,0.35407323
50.3,-0.0015097822,0.048545572,0.33390578
50.4,0.019762687,0.049652873,0.32916904
50.5,0.021969595,0.052549494,0.34420539
50.6,0.0060591362,0.047922789,0.32049807
50.7,0.028212273,0.049366144,0.31575195
50.8,0.028327839,0.052552099,0.33155212
50.9,0.0086684143,0.050763575,0.32785111
51,0.012396924,0.049397317,0.31629058
51.1,0.024138312,0.052086512,0.32515749
51.2,0.011809441,0.053608828,0.33888217
51.3,0.00039295155,0.05012568,0.32295819
51.4,0.019027143,0.051892085,0.32426066
51.5,0.015565118,0.051826868,0.32354501
51.6,0.01490717,0.050994174,0.31700606
51.7,0.019544732,0.050526969,0.30963881
51.8,0.024040628,0.050964039,0.30705835
51.9,0.022500552,0.049846188,0.29768573
52,0.029095127,0.05159284,0.30124356
52.1,0.021967447,0.055204708,0.32250408
52.2,-0.00023263052,0.054236371,0.32702922
52.3,0.0005345072,0.053708761,0.32537941
